Top 20 destinations of exports of Rwanda in  2025, Quarter 2 (Values in US$ million)
Country,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,Shares in % Q2,% change Q2/Q1,% change Q4/Q4
Total Estimates,402.14,484.74,388.11,399.11,431.61,537.64,667.00,677.45,480.82,346.04,100.00,-28.03%,-35.64%
United Arab Emirates,211.60,321.57,203.49,215.07,268.67,360.62,447.01,484.40,288.75,97.94,28.30,-66.08%,-72.84%
Congo, The Democratic Republic Of,44.32,38.18,51.12,47.01,51.03,47.53,62.17,72.15,54.96,69.86,20.19,27.11%,46.98%
China,21.49,19.43,23.42,19.10,17.75,23.32,22.83,20.43,23.45,40.88,11.81,74.34%,75.31%
Belgium,2.03,3.91,2.31,2.22,1.55,1.57,5.57,5.44,3.32,14.40,4.16,333.23%,818.67%
Luxembourg,2.11,3.62,2.38,8.01,12.07,15.48,13.77,14.10,11.98,13.64,3.94,13.88%,-11.87%
United Kingdom,11.76,9.58,7.74,7.95,7.62,7.91,10.91,9.31,9.26,9.55,2.76,3.15%,20.77%
United States,2.36,2.13,5.49,8.78,4.12,5.55,8.16,8.97,10.73,9.55,2.76,-10.98%,72.14%
Hong Kong,10.60,13.17,10.44,9.85,5.53,4.73,8.52,5.89,5.39,8.85,2.56,64.19%,87.19%
Uganda,12.36,9.34,8.83,3.99,0.90,2.27,4.53,7.50,5.88,7.49,2.16,27.38%,229.70%
Pakistan,9.88,7.02,8.18,5.27,7.76,7.28,6.22,4.12,8.24,7.35,2.12,-10.87%,0.95%
Thailand,0.04,0.36,0.85,0.36,1.94,2.45,6.18,3.75,3.07,5.98,1.73,94.81%,144.58%
Switzerland,5.36,2.20,5.12,8.40,3.85,0.36,6.37,1.94,1.91,5.91,1.71,209.08%,1526.19%
Burundi,2.27,3.72,5.18,5.47,1.16,2.18,3.03,2.44,3.74,5.58,1.61,49.29%,155.46%
Netherlands,8.22,3.81,2.92,3.31,2.86,4.98,6.77,5.76,4.93,5.02,1.45,1.86%,0.81%
Egypt,4.87,2.96,3.18,3.24,2.93,3.43,2.86,2.27,3.94,4.64,1.34,17.63%,35.35%
India,4.31,3.63,2.89,3.84,5.14,5.82,2.63,5.56,3.09,3.74,1.08,20.79%,-35.73%
Kazakhstan,2.78,2.38,2.67,2.43,3.29,3.75,2.61,1.66,4.12,3.14,0.91,-23.83%,-16.18%
Sweden,0.01,0.04,0.85,2.08,0.08,1.85,2.17,1.97,0.77,3.13,0.90,305.82%,69.05%
Congo,6.78,7.03,5.66,5.88,5.52,5.41,3.21,3.49,1.92,2.85,0.82,48.36%,-47.27%
Russian Federation,1.33,0.64,1.48,2.62,1.48,0.53,0.49,1.83,2.35,2.75,0.79,17.03%,414.24%
Source,NISR,,,,,,,,,,,,,
